Source ID	Image ID	Expected	Surabhi	Dougal	Tara	Final Classification	Local RMS	RMS median	Compactness	Avg Compactness	B maj	B min	PNG	FITS
Nbqs97Rgg3So	rWabW666	point					0.21629245020449162	0.19276484847068787	1.0	1.099689501287181	12.700000000000008	10.900000000000007	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/Nbqs97Rgg3So_rWabW666_1.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/Nbqs97Rgg3So_rWabW666_1.fits
9raRochfx44p	KWVdXshN	point					0.18700000643730164	0.20825524628162384	0.9090020164100576	1.5416858220438248	15.069999694824219	11.59000015258789	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/9raRochfx44p_KWVdXshN_0.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/9raRochfx44p_KWVdXshN_0.fits
QEjWSPTx32rQ	S8hU8P5r	point					0.23600000143051147	0.2295803427696228	0.9327586303757052	1.0141766036563178	14.3100004196167	12.670000076293945	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/QEjWSPTx32rQ_S8hU8P5r_0.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/QEjWSPTx32rQ_S8hU8P5r_0.fits
eWM9fWcH84jM	3mQWN7Mx	point					0.18000000715255737	0.2383326143026352	1.1701700940990283	1.1848023039838613	16.440000534057617	13.920000076293945	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/eWM9fWcH84jM_3mQWN7Mx_0.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/eWM9fWcH84jM_3mQWN7Mx_0.fits
g93tdQNJh6ZE	VkZ3ckAs	point					0.1899999976158142	0.20562537014484406	1.1789860138675257	1.1792634499408625	13.670000076293945	12.529999732971191	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/g93tdQNJh6ZE_VkZ3ckAs_0.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/g93tdQNJh6ZE_VkZ3ckAs_0.fits
gJqnqyTsXXzo	MDYvMbbE	point					0.2160000056028366	0.22005395591259003	1.041775890222563	1.045507969454452	15.859999656677246	12.529999732971191	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/gJqnqyTsXXzo_MDYvMbbE_0.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/gJqnqyTsXXzo_MDYvMbbE_0.fits
UJgyR6mEgYnP	oboCsKpw	point					0.18503343032999603	0.21190081536769867	1.0	1.0682289150400812	13.30000000000002	11.000000000000016	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/UJgyR6mEgYnP_oboCsKpw_1.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/UJgyR6mEgYnP_oboCsKpw_1.fits
PeD3FsqT6tzW	rh3FZESU	point					0.22100000083446503	0.20144912600517273	1.1693204017975003	1.215223131744941	14.210000038146973	12.680000305175781	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/PeD3FsqT6tzW_rh3FZESU_0.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/PeD3FsqT6tzW_rh3FZESU_0.fits
q8whLsPs2uT2	78bF6ckG	point					0.22499999403953552	0.23413041234016418	1.0698126737608076	1.0670926320545862	16.06999969482422	12.609999656677246	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/q8whLsPs2uT2_78bF6ckG_1.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/q8whLsPs2uT2_78bF6ckG_1.fits
5JXZoZNGJYGH	FD97oHZY	point					0.2872935636450687	0.2796327471733093	1.0	0.8961148444560432	15.400000000000007	12.200000000000005	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/5JXZoZNGJYGH_FD97oHZY_0.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/5JXZoZNGJYGH_FD97oHZY_0.fits
T4ASYEq3o7Dg	93yNniT5	point					0.2709999978542328	0.22826775908470154	1.1311918467272175	1.1577157021669153	16.6200008392334	12.970000267028809	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/png_all/T4ASYEq3o7Dg_93yNniT5_0.png	https://raw.githubusercontent.com/surabhichandra22/vast-gold-std/main/fits_all/T4ASYEq3o7Dg_93yNniT5_0.fits
